sea_change_id,treaty,current_id,action,old_txt,new_txt,sea_id
4,ecsc,None,add,,"Article 32d

1. At the request of the Court of Justice and after consulting the Commission and the European Parliament, the Council may, acting unanimously, attach to the Court of Justice a court with jurisdiction to hear and determine at first instance, subject to a right of appeal to the Court of Justice on points of law only and in accordance with the conditions laid down by the Statute, certain classes of action or proceeding brought by natural or legal persons. That court shall not be competent to hear and determine actions brought by Member States or by Community Institutions or questions referred for a preliminary ruling under Article 41.

2. The Council, following the procedure laid down in paragraph 1, shall determine the composition of that court and adopt the necessary adjustments and additional provisions to the Statute of the Court of Justice. Unless the Council decides otherwise, the provisions of this Treaty relating to the Court of Justice, in particular the provisions of the Protocol on the Statute of the Court of Justice, shall apply to that court.

3. The members of that court shall be chosen from persons whose independence is beyond doubt and who possess the ability required for appointment to judicial office; they shall be appointed by common accord of the Governments of the Member States for a term of six years. The membership shall be partially renewed every three years. Retiring members shall be eligible for reappointment.

4. That court shall establish its rules of procedure in agreement with the Court of Justice. Those rules shall require the unanimous approval of the Council.",2.4.32d
5,ecsc,2.4.45,amend,,"The Council may, acting unanimously at the request of the Court of Justice and after consulting the Commission and the European Parliament, amend the provisions of Title III of the Statute.",
6,eec,1.X.X.X.7,repl_txt,after the Assembly has been consulted,in co-operation with the European Parliament,
6,,2.3.1.X.49,repl_txt,"the Council shall, acting on a proposal from the Commission and after the Economic and Social Committee has been consulted","the Council shall, acting by a qualified majority on a proposal from the Commission, in co-operation with the European Parliament and after consulting the Economic and Social Committee",
6,,2.3.2.X.54,repl_txt,"the Council shall, on a proposal from the Commission and after the Economic and Social Committee and the Assembly have been consulted","the Council shall, acting on a proposal from the Commission, in co-operation with the European Parliament and after consulting the Economic and Social Committee",
6,,2.3.2.X.56,repl_txt,"After the end of the second stage, however, the Council, acting by means of a qualified majority vote on a proposal of the Commission, shall issue directives for co-ordinating such provisions as, in each Member State, fall within the administrative field.","After the end of the second stage, however, the Council shall, acting by a qualified majority on a proposal from the Commission and in co-operation with the European Parliament, issue directives for the co-ordination of such provisions as, in each Member State, are a matter for regulation or administrative action.",
6,,2.3.2.X.57,repl_txt,"and after the Assembly has been consulted, shall, in the course","and in co-operation with the European Parliament, shall, in the course",
6,,2.3.2.X.57,repl_txt,"In all other cases, the Council shall act in the course of the first stage by means of a unanimous vote and subsequently by means of a qualified majority vote.","In other cases the Council shall act by a qualified majority, in co-operation with the European Parliament.",
7,eec,5.1.1.2.149,repl_ent,,"Article 149

1. Where, in pursuance of this Treaty, the Council acts on a proposal from the Commission, unanimity shall be required for an act constituting an amendment to that proposal.

2. Where, in pursuance of this Treaty, the Council acts in co-operation with the European Parliament, the following procedure shall apply:

(a) The Council, acting by a qualified majority under the conditions of paragraph 1, on a proposal from the Commission and after obtaining the Opinion of the European Parliament, shall adopt a common position.

(b) The Council's common position shall be communicated to the European Parliament. The Council and the Commission shall inform the European Parliament fully of the reasons which led the Council to adopt its common position and also of the Commission's position.

If, within three months of such communication, the European Parliament approves this common position or has not taken a decision within that period, the Council shall definitively adopt the act in question in accordance with the common position.

(c) The European Parliament may within the period of three months referred to in point (b), by an absolute majority of its component members, propose amendments to the Council's common position. The European Parliament may also, by the same majority, reject the Council's common position. The result of the proceedings shall be transmitted to the Council and the Commission.

If the European Parliament has rejected the Council's common position, unanimity shall be required for the Council to act on a second reading.

(d) The Commission shall, within a period of one month, re-examine the proposal on the basis of which the Council adopted its common position, by taking into account the amendments proposed by the European Parliament.

The Commission shall forward to the Council, at the same time as its re-examined proposal, the amendments of the European Parliament which it has not accepted, and shall express its opinion on them. The Council may adopt these amendments unanimously.

(e) The Council, acting by a qualified majority, shall adopt the proposal as re-examined by the Commission.

Unanimity shall be required for the Council to amend the proposal as re-examined by the Commission.

(f) In the cases referred to in points (c), (d) and (e), the Council shall be required to act within a period of three months. If no decision is taken within this period, the Commission proposal shall be deemed not to have been adopted.

(g) The periods referred to in points (b) and (f) may be extended by a maximum of one month by common accord between the Council and the European Parliament.

As long as the Council has not acted, the Commission may alter its proposal at any time during the procedures mentioned in paragraphs 1 and 2.",
8,eec,6.X.X.X.237,repl_txt,"Any European State may apply to become a member of the Community. It shall address its application to the Council which, after obtaining the opinion of the Commission, shall act by means of a unanimous vote.","Any European State may apply to become a member of the Community. It shall address its application to the Council, which shall act unanimously after consulting the Commission and after receiving the assent of the European Parliament which shall act by an absolute majority of its component members.",
9,eec,6.X.X.X.238,repl_txt,Such agreements shall be concluded by the Council acting by means of a unanimous vote and after consulting the Assembly.,"These agreements shall be concluded by the Council, acting unanimously and after receiving the assent of the European Parliament which shall act by an absolute majority of its component members.",
