change_article,change_id,new_article,treaty_nr,part_nr,title_nr,chapter_nr,section_nr,article_nr,new_id,remarks
Article 1,3.1.X.X.X.1,Article 1,3,1,X,X,X,1,NA,NA
Article 2,3.1.X.X.X.2,Article 2,3,1,X,X,X,2,NA,NA
Article 3,3.1.X.X.X.3,Article 3,3,1,X,X,X,3,NA,NA
Article 3a,3.1.X.X.X.3a,Article 4,3,1,X,X,X,4,NA,NA
Article 3b,3.1.X.X.X.3b,Article 5,3,1,X,X,X,5,NA,NA
Article 3c,3.1.X.X.X.3c,Article 6,3,1,X,X,X,6,NA,New Article introduced by the Treaty of Amsterdam
Article 4,3.1.X.X.X.4,Article 7,3,1,X,X,X,7,NA,NA
Article 4a,3.1.X.X.X.4a,Article 8,3,1,X,X,X,8,NA,NA
Article 4b,3.1.X.X.X.4b,Article 9,3,1,X,X,X,9,NA,NA
Article 5,3.1.X.X.X.5,Article 10,3,1,X,X,X,10,NA,NA
Article 5a,3.1.X.X.X.5a,Article 11,3,1,X,X,X,11,NA,New Article introduced by the Treaty of Amsterdam
Article 6,3.1.X.X.X.6,Article 12,3,1,X,X,X,12,NA,NA
Article 6a,3.1.X.X.X.6a,Article 13,3,1,X,X,X,13,NA,New Article introduced by the Treaty of Amsterdam
Article 7a,3.1.X.X.X.7a,Article 14,3,1,X,X,X,14,NA,NA
Article 7c,3.1.X.X.X.7c,Article 15,3,1,X,X,X,15,NA,NA
Article 7d,3.1.X.X.X.7d,Article 16,3,1,X,X,X,16,NA,New Article introduced by the Treaty of Amsterdam
Article 8,3.2.X.X.X.8,Article 17,3,2,X,X,X,17,NA,NA
Article 8a,3.2.X.X.X.8a,Article 18,3,2,X,X,X,18,NA,NA
Article 8b,3.2.X.X.X.8b,Article 19,3,2,X,X,X,19,NA,NA
Article 8c,3.2.X.X.X.8c,Article 20,3,2,X,X,X,20,NA,NA
Article 8d,3.2.X.X.X.8d,Article 21,3,2,X,X,X,21,NA,NA
Article 8e,3.2.X.X.X.8e,Article 22,3,2,X,X,X,22,NA,NA
Article 9,3.3.1.X.X.9,Article 23,3,3,1,X,X,23,NA,NA
Article 10,3.3.1.X.X.10,Article 24,3,3,1,X,X,24,NA,NA
Article 12,3.3.1.1.X.12,Article 25,3,3,1,1,X,25,NA,NA
