change_article,change_id,new_article,new_id,remarks
Article A,6.1.A,Article 1,6.1.1,NA
Article B,6.1.B,Article 2,6.1.2,NA
Article C,6.1.C,Article 3,6.1.3,NA
Article D,6.1.D,Article 4,6.1.4,NA
Article E,6.1.E,Article 5,6.1.5,NA
Article F,6.1.F,Article 6,6.1.6,NA
Article F.1,6.1.F.1,Article 7,6.1.7,New Article introduced by the Treaty of Amsterdam
Article G,NA,Article 8,6.2.8,NA
Article H,6.3.H,Article 9,6.3.9,NA
Article I,6.4.I,Article 10,6.4.10,NA
Article J1,6.5.J1,Article 11,6.5.11,NA
Article J2,6.5.J2,Article 12,6.5.12,NA
Article J3,6.5.J3,Article 13,6.5.13,NA
Article J4,6.5.J4,Article 14,6.5.14,NA
Article J5,6.5.J5,Article 15,6.5.15,NA
Article J6,6.5.J6,Article 16,6.5.16,NA
Article J7,6.5.J7,Article 17,6.5.17,NA
Article J8,6.5.J8,Article 18,6.5.18,NA
Article J9,6.5.J9,Article 19,6.5.19,NA
Article J10,6.5.J10,Article 20,6.5.20,NA
Article J11,6.5.J11,Article 21,6.5.21,NA
Article J12,6.5.J12,Article 22,6.5.22,NA
Article J13,6.5.J13,Article 23,6.5.23,NA
Article J14,6.5.J14,Article 24,6.5.24,NA
Article J15,6.5.J15,Article 25,6.5.25,NA
Article J16,6.5.J16,Article 26,6.5.26,NA
Article J17,6.5.J17,Article 27,6.5.27,NA
Article J18,6.5.J18,Article 28,6.5.28,NA
Article K1,6.6.K1,Article 29,6.6.29,NA
Article K2,6.6.K2,Article 30,6.6.30,NA
Article K3,6.6.K3,Article 31,6.6.31,NA
Article K4,6.6.K4,Article 32,6.6.32,NA
Article K5,6.6.K5,Article 33,6.6.33,NA
Article K6,6.6.K6,Article 34,6.6.34,NA
Article K7,6.6.K7,Article 35,6.6.35,NA
Article K8,6.6.K8,Article 36,6.6.36,NA
Article K9,6.6.K9,Article 37,6.6.37,NA
Article K10,6.6.K10,Article 38,6.6.38,NA
Article K11,6.6.K11,Article 39,6.6.39,NA
Article K12,6.6.K12,Article 40,6.6.40,NA
Article K13,6.6.K13,Article 41,6.6.41,NA
Article K14,6.6.K14,Article 42,6.6.42,NA
Article K15,6.6a.K15,Article 43,6.7.43,New Article introduced by the Treaty of Amsterdam
Article K16,6.6a.K16,Article 44,6.7.44,New Article introduced by the Treaty of Amsterdam
Article K17,6.6a.K17,Article 45,6.7.45,New Article introduced by the Treaty of Amsterdam
Article L,6.7.L,Article 46,6.8.46,NA
Article M,6.7.M,Article 47,6.8.47,NA
Article N,6.7.N,Article 48,6.8.48,NA
Article O,6.7.O,Article 49,6.8.49,NA
Article P,NA,Article 50,6.8.50,NA
Article Q,6.7.Q,Article 51,6.8.51,NA
Article R,6.7.R,Article 52,6.8.52,NA
Article S,6.7.S,Article 53,6.8.53,NA
