id,txt,action,change_id,new_id,change_txt,new_txt
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.1.X.X.X.1,3.1.X.X.X.1,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.1.X.X.X.2,3.1.X.X.X.2,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.1.X.X.X.3,3.1.X.X.X.3,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.1.X.X.X.3a,3.1.X.X.X.4,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.1.X.X.X.3b,3.1.X.X.X.5,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.1.X.X.X.3c,3.1.X.X.X.6,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.1.X.X.X.4,3.1.X.X.X.7,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.1.X.X.X.4a,3.1.X.X.X.8,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.1.X.X.X.4b,3.1.X.X.X.9,NA,NA
7.3.12,"1. The articles, titles and sections of the Treaty on European Union and of the Treaty establishing the European Community, as amended by the provisions of this Treaty, shall be renumbered in accordance with the tables of equivalences set out in the Annex to this Treaty, which shall form an integral part thereof. 2. The cross references to articles, titles and sections in the Treaty on European Union and in the Treaty establishing the European Community, as well as between them, shall be adapted in consequence. The same shall apply as regards references to articles, titles and sections of those treaties contained in the other Community treaties. 3. The references to the articles, titles and sections of the Treaties referred to in paragraph 2 contained in other instruments or acts shall be understood as references to the articles, titles and sections of the Treaties as renumbered pursuant to paragraph 1 and, respectively, to the paragraphs of the said articles, as renumbered by certain provisions of Article 6. 4. References, contained in other instruments or acts, to paragraphs of articles of the Treaties referred to in Articles 7 and 8 shall be understood as referring to those paragraphs as renumbered by certain provisions of the said Articles 7 and 8.",renumber,3.1.X.X.X.5,3.1.X.X.X.10,NA,NA
