id,txt,action,change_id,new_id,change_txt,new_txt
4.1.1,"Article 1 A Council of the European Communities (hereinafter called the ""Council"") is hereby established. This Council shall take the place of the Special Council of Ministers of the European Coal and Steel Community, the Council of the European Economic Community and the Council of the European Atomic Energy Community. It shall exercise the powers and competences conferred on those institutions in accordance with the provisions of the Treaties establishing the European Coal and Steel Community, the European Economic Community and the European Atomic Energy Community, and of this Treaty.",add,,,,
4.1.2,"Article 2 The Council shall consist of representatives of the Member States. Each government shall delegate to it one of its members. The Presidency shall be held for a term of six months by each Member of the Council in turn, in the following order of Member States: Belgium, Germany, France, Italy, Luxembourg and the Netherlands.",add,,,,
4.1.3,Article 3 The Council shall meet when convened by its President on his own initiative or at the request of one of its Members or of the Commission.,add,,,,
4.1.4,Article 4 A committee consisting of the Permanent Representatives of the Member States shall be responsible for preparing the work of the Council and for carrying out the tasks assigned to it by the Council.,add,,,,
4.1.5,Article 5 The Council shall adopt its rules of procedure.,add,,,,
4.1.6,"Article 6 The Council shall, acting by a qualified majority, determine the salaries, allowances and pensions of the President and Members of the Commission, and of the President, Judges, Advocates-General and Registrar of the Court of Justice. It shall also, acting by the same majority, determine any allowances to be granted in place of remuneration.",add,,,,
4.1.7,"Article 7 Article 27, the first paragraph of Article 28, and Articles 29 and 30 of the Treaty establishing the European Coal and Steel Community, Articles 146, 147, 151 and 154 of the Treaty establishing the European Economic Community, and Articles 116, 117, 121 and 123 of the Treaty establishing the European Atomic Energy Community are repealed.",repeal,1.2.3.27,,,
4.1.7,"Article 7 Article 27, the first paragraph of Article 28, and Articles 29 and 30 of the Treaty establishing the European Coal and Steel Community, Articles 146, 147, 151 and 154 of the Treaty establishing the European Economic Community, and Articles 116, 117, 121 and 123 of the Treaty establishing the European Atomic Energy Community are repealed.",repeal_txt,1.2.3.28,,"""Meetings of the Council shall be called by its President on the request of a State or of the High Authority. """,
4.1.7,"Article 7 Article 27, the first paragraph of Article 28, and Articles 29 and 30 of the Treaty establishing the European Coal and Steel Community, Articles 146, 147, 151 and 154 of the Treaty establishing the European Economic Community, and Articles 116, 117, 121 and 123 of the Treaty establishing the European Atomic Energy Community are repealed.",repeal,1.2.3.29,,,
4.1.7,"Article 7 Article 27, the first paragraph of Article 28, and Articles 29 and 30 of the Treaty establishing the European Coal and Steel Community, Articles 146, 147, 151 and 154 of the Treaty establishing the European Economic Community, and Articles 116, 117, 121 and 123 of the Treaty establishing the European Atomic Energy Community are repealed.",repeal,1.2.3.30,,,
4.1.7,"Article 7 Article 27, the first paragraph of Article 28, and Articles 29 and 30 of the Treaty establishing the European Coal and Steel Community, Articles 146, 147, 151 and 154 of the Treaty establishing the European Economic Community, and Articles 116, 117, 121 and 123 of the Treaty establishing the European Atomic Energy Community are repealed.",repeal,3.5.1.1.2.146,,,
4.1.7,"Article 7 Article 27, the first paragraph of Article 28, and Articles 29 and 30 of the Treaty establishing the European Coal and Steel Community, Articles 146, 147, 151 and 154 of the Treaty establishing the European Economic Community, and Articles 116, 117, 121 and 123 of the Treaty establishing the European Atomic Energy Community are repealed.",repeal,3.5.1.1.2.147,,,
4.1.7,"Article 7 Article 27, the first paragraph of Article 28, and Articles 29 and 30 of the Treaty establishing the European Coal and Steel Community, Articles 146, 147, 151 and 154 of the Treaty establishing the European Economic Community, and Articles 116, 117, 121 and 123 of the Treaty establishing the European Atomic Energy Community are repealed.",repeal,3.5.1.1.2.151,,,
4.1.7,"Article 7 Article 27, the first paragraph of Article 28, and Articles 29 and 30 of the Treaty establishing the European Coal and Steel Community, Articles 146, 147, 151 and 154 of the Treaty establishing the European Economic Community, and Articles 116, 117, 121 and 123 of the Treaty establishing the European Atomic Energy Community are repealed.",repeal,3.5.1.1.2.154,,,
4.1.7,"Article 7 Article 27, the first paragraph of Article 28, and Articles 29 and 30 of the Treaty establishing the European Coal and Steel Community, Articles 146, 147, 151 and 154 of the Treaty establishing the European Economic Community, and Articles 116, 117, 121 and 123 of the Treaty establishing the European Atomic Energy Community are repealed.",repeal,2.3.1.2.116,,,
4.1.7,"Article 7 Article 27, the first paragraph of Article 28, and Articles 29 and 30 of the Treaty establishing the European Coal and Steel Community, Articles 146, 147, 151 and 154 of the Treaty establishing the European Economic Community, and Articles 116, 117, 121 and 123 of the Treaty establishing the European Atomic Energy Community are repealed.",repeal,2.3.1.2.117,,,
4.1.7,"Article 7 Article 27, the first paragraph of Article 28, and Articles 29 and 30 of the Treaty establishing the European Coal and Steel Community, Articles 146, 147, 151 and 154 of the Treaty establishing the European Economic Community, and Articles 116, 117, 121 and 123 of the Treaty establishing the European Atomic Energy Community are repealed.",repeal,2.3.1.2.121,,,
4.1.7,"Article 7 Article 27, the first paragraph of Article 28, and Articles 29 and 30 of the Treaty establishing the European Coal and Steel Community, Articles 146, 147, 151 and 154 of the Treaty establishing the European Economic Community, and Articles 116, 117, 121 and 123 of the Treaty establishing the European Atomic Energy Community are repealed.",repeal,2.3.1.2.123,,,
4.1.8,"Article 8 1. The conditions governing the exercise of the competences conferred on the Special Council of Ministers by the Treaty establishing the European Coal and Steel Community and by the Protocol on the Statute of the Court of Justice annexed thereto shall be amended in accordance with paragraphs 2 and 3. 2. Article 28 of the Treaty establishing the European Coal and Steel Community shall be amended as follows: (a) To the provisions of the third paragraph, worded thus: ""Wherever the present Treaty requires a unanimous decision or unanimous concurrence, such decision or concurrence will be adopted if supported by the votes of all of the members of the Council."" there shall be added the following provisions: ""However, for the purposes of applying Articles 21, 32, 32a, 78d and 78f of this Treaty, and Article 16, the third paragraph of Article 20, the fifth paragraph of Article 28 and Article 44 of the Protocol on the Statute of the Court of Justice, abstention by members present in person or represented shall not prevent the adoption by the Council of acts which require unanimity."" (b) To the provisions of the fourth paragraph, worded thus: ""The decisions of the Council, other than those which require a qualified majority or a unanimous vote, will be taken by a vote of the majority of the total membership. This majority shall be deemed to exist if it includes the absolute majority of the representatives of the member States including the vote of the representative of one of the States which produces at least twenty percent of the total value of coal and steel produced in the Community."" there shall be added the following provisions: ""However, for the purposes of applying those provisions of Articles 78, 78b and 78d of this Treaty which require a qualified majority, the votes of the members of the Council shall be weighted as follows: Belgium 2, Germany 4, France 4, Italy 4, Luxembourg 1, Netherlands 2. For their adoption, acts shall require at least twelve votes in favour, cast by not less than four members."" 3. The Protocol on the Statute of the Court of Justice annexed to the Treaty establishing the European Coal and Steel Community shall be amended as follows: (a) Articles 5 and 15 are repealed. (b) Article 16 is repealed and replaced by the following provisions: ""1. Officials and other servants shall be attached to the Court to enable it to carry out its tasks. They shall be responsible to the Registrar under the authority of the President. 2. On a proposal from the Court, the Council may, acting unanimously, provide for the appointment of assistant rapporteurs and lay down the rules governing their service. The Assistant Rapporteurs may be required, under conditions to be laid down in the rules of procedure, to take part in preparatory inquiries of cases pending before the Court and to assist the Judge acting as Rapporteur. Assistant Rapporteurs shall be chosen from persons whose independence is beyond doubt and who possess the necessary legal qualifications; they shall be appointed by the Council. They shall take an oath before the Court to perform their duties impartially and conscientiously and to preserve the secrecy of the deliberations of the Court."" (c) The third paragraph of Article 20 and the fifth paragraph of Article 28 shall be amended by the addition at the end of each paragraph of the words: ""acting unanimously"". (d) The first sentence of Article 44 is repealed and replaced by the following: ""The Court of Justice shall adopt its rules of procedure. These shall require the unanimous approval of the Council.""",replace_txt,1.2.3.28,,"Wherever the present Treaty requires a unanimous decision or unanimous concurrence, such decision or concurrence will be adopted if supported by the votes of all of the members of the Council.","Wherever the present Treaty requires a unanimous decision or unanimous concurrence, such decision or concurrence will be adopted if supported by the votes of all of the members of the Council. However, for the purposes of applying Articles 21, 32, 32a, 78d and 78f of this Treaty, and Article 16, the third paragraph of Article 20, the fifth paragraph of Article 28 and Article 44 of the Protocol on the Statute of the Court of Justice, abstention by members present in person or represented shall not prevent the adoption by the Council of acts which require unanimity."
