id,title,chapter,section,subsection,article,txt,treaty
5.1.X.X.X.1,1,NA,NA,NA,1,"Article 1 The European Communities and European Political Co-operation shall have as their objective to contribute together to making concrete progress towards European unity. The European Communities shall be founded on the Treaties establishing the European Coal and Steel Community, the European Economic Community, the European Atomic Energy Community and on the subsequent Treaties and Acts modifying or supplementing them. Political Co-operation shall be governed by Title III. The provisions of that Title shall confirm and supplement the procedures agreed in the reports of Luxembourg (1970), Copenhagen (1973), London (1981), the Solemn Declaration on European Union (l983) and the practices gradually established among the Member States.",5
5.1.X.X.X.2,1,NA,NA,NA,2,Article 2 The European Council shall bring together the Heads of State or of Government of the Member States and the President of the Commission of the European Communities. They shall be assisted by the Ministers for Foreign Affairs and by a Member of the Commission. The European Council shall meet at least twice a year.,5
5.1.X.X.X.3,1,NA,NA,NA,3,"Article 3 1. The institutions of the European Communities, henceforth designated as referred to hereafter, shall exercise their powers and jurisdiction under the conditions and for the purposes provided for by the Treaties establishing the Communities and by the subsequent Treaties and Acts modifying or supplementing them and by the provisions of Title II. 2. The institutions and bodies responsible for European Political Co-operation shall exercise their powers and jurisdiction under the conditions and for the purposes laid down in Title III and in the documents referred to in the third paragraph of Article 1.",5
5.2.1.X.X.4,2,1,NA,NA,4,"Article 4 The ECSC Treaty is supplemented by the following provisions: 'Article 32d 1. At the request of the Court of Justice and after consulting the Commission and the European Parliament, the Council may, acting unanimously, attach to the Court of Justice a court with jurisdiction to hear and determine at first instance, subject to a right of appeal to the Court of Justice on points of law only and in accordance with the conditions laid down by the Statute, certain classes of action or proceeding brought by natural or legal persons. That court shall not be competent to hear and determine actions brought by Member States or by Community Institutions or questions referred for a preliminary ruling under Article 41. 2. The Council, following the procedure laid down in paragraph 1, shall determine the composition of that court and adopt the necessary adjustments and additional provisions to the Statute of the Court of Justice. Unless the Council decides otherwise, the provisions of this Treaty relating to the Court of Justice, in particular the provisions of the Protocol on the Statute of the Court of Justice, shall apply to that court. 3. The members of that court shall be chosen from persons whose independence is beyond doubt and who possess the ability required for appointment to judicial office; they shall be appointed by common accord of the Governments of the Member States for a term of six years. The membership shall be partially renewed every three years. Retiring members shall be eligible for reappointment. 4. That court shall establish its rules of procedure in agreement with the Court of Justice. Those rules shall require the unanimous approval of the Council.'.",5
5.2.1.X.X.5,2,1,NA,NA,5,"Article 5 Article 45 of the ECSC Treaty is supplemented by the following paragraph: 'The Council may, acting unanimously at the request of the Court of Justice and after consulting the Commission and the European Parliament, amend the provisions of Title III of the Statute.'.",5
5.2.2.1.X.6,2,2,1,NA,6,"Article 6 1. A co-operation procedure shall be introduced which shall apply to acts based on Articles 7, 49, 54(2), 56(2), second sentence, 57 with the exception of the second sentence of paragraph 2 thereof, 100a, 100b, 118a, 130e and 130q(2) of the EEC Treaty. 2. In Article 7, second paragraph of the EEC Treaty the terms 'after consulting the Assembly' shall be replaced by 'in co-operation with the European Parliament'. 3. In Article 49 of the EEC Treaty the terms 'the Council shall, acting on a proposal from the Commission and after consulting the Economic and Social Committee', shall be replaced by 'the Council shall, acting by a qualified majority on a proposal from the Commission, in co-operation with the European Parliament and after consulting the Economic and Social Committee'. 4. In Article 54(2) of the EEC Treaty the terms 'the Council shall, on a proposal from the Commission and after consulting the Economic and Social Committee and the Assembly', shall be replaced by 'the Council shall, acting on a proposal from the Commission, in co-operation with the European Parliament and after consulting the Economic and Social Committee'. 5. In Article 56(2) of the EEC Treaty the second sentence is replaced by the following: 'After the end of the second stage, however, the Council shall, acting by a qualified majority on a proposal from the Commission and in co-operation with the European Parliament, issue directives for the co-ordination of such provisions as, in each Member State, are a matter for regulation or administrative action.'. 6. In Article 57(1) of the EEC Treaty the terms 'and after consulting the Assembly' shall be replaced by 'and in co-operation with the European Parliament'. 7. In Article 57(2) of the EEC Treaty, the third sentence shall be replaced by the following: 'In other cases the Council shall act by a qualified majority, in co-operation with the European Parliament.'.",5
5.2.2.1.X.7,2,2,1,NA,7,"Article 7 Article 149 of the EEC Treaty shall be replaced by the following provisions: 'Article 149 1. Where, in pursuance of this Treaty, the Council acts on a proposal from the Commission, unanimity shall be required for an act constituting an amendment to that proposal. 2. Where, in pursuance of this Treaty, the Council acts in co-operation with the European Parliament, the following procedure shall apply: (a) The Council, acting by a qualified majority under the conditions of paragraph 1, on a proposal from the Commission and after obtaining the Opinion of the European Parliament, shall adopt a common position. (b) The Council's common position shall be communicated to the European Parliament. The Council and the Commission shall inform the European Parliament fully of the reasons which led the Council to adopt its common position and also of the Commission's position. If, within three months of such communication, the European Parliament approves this common position or has not taken a decision within that period, the Council shall definitively adopt the act in question in accordance with the common position. (c) The European Parliament may within the period of three months referred to in point (b), by an absolute majority of its component members, propose amendments to the Council's common position. The European Parliament may also, by the same majority, reject the Council's common position. The result of the proceedings shall be transmitted to the Council and the Commission. If the European Parliament has rejected the Council's common position, unanimity shall be required for the Council to act on a second reading. (d) The Commission shall, within a period of one month, re-examine the proposal on the basis of which the Council adopted its common position, by taking into account the amendments proposed by the European Parliament. The Commission shall forward to the Council, at the same time as its re-examined proposal, the amendments of the European Parliament which it has not accepted, and shall express its opinion on them. The Council may adopt these amendments unanimously. (e) The Council, acting by a qualified majority, shall adopt the proposal as re-examined by the Commission. Unanimity shall be required for the Council to amend the proposal as re-examined by the Commission. (f) In the cases referred to in points (c), (d) and (e), the Council shall be required to act within a period of three months. If no decision is taken within this period, the Commission proposal shall be deemed not to have been adopted. (g) The periods referred to in points (b) and (f) may be extended by a maximum of one month by common accord between the Council and the European Parliament. As long as the Council has not acted, the Commission may alter its proposal at any time during the procedures mentioned in paragraphs 1 and 2.'.",5
5.2.2.1.X.8,2,2,1,NA,8,"Article 8 The first paragraph of Article 237 of the EEC Treaty shall be replaced by the following provision: 'Any European State may apply to become a member of the Community. It shall address its application to the Council, which shall act unanimously after consulting the Commission and after receiving the assent of the European Parliament which shall act by an absolute majority of its component members.'.",5
5.2.2.1.X.9,2,2,1,NA,9,"Article 9 The second paragraph of Article 238 of the EEC Treaty shall be replaced by the following provision: 'These agreements shall be concluded by the Council, acting unanimously and after receiving the assent of the European Parliament which shall act by an absolute majority of its component members.'.",5
5.2.2.1.X.10,2,2,1,NA,10,"Article 10 Article 145 of the EEC Treaty shall be supplemented by the following provision: '— confer on the Commission, in the acts which the Council adopts, powers for the implementation of the rules which the Council lays down. The Council may impose certain requirements in respect of the exercise of these powers. The Council may also reserve the right, in specific cases, to exercise directly implementing powers itself. The procedures referred to above must be consonant with principles and rules to be laid down in advance by the Council, acting unanimously on a proposal from the Commission and after obtaining the Opinion of the European Parliament.'.",5
