id,txt,action,change_id,new_id,change_txt,new_txt
6.1.A,"Article A By this Treaty, the High Contracting Parties establish among themselves a European Union, hereinafter called ‘the Union’. This Treaty marks a new stage in the process of creating an ever closer union among the peoples of Europe, in which decisions are taken as closely as possible to the citizen. The Union shall be founded on the European Communities, supplemented by the policies and forms of cooperation established by this Treaty. Its task shall be to organize, in a manner demonstrating consistency and solidarity, relations between the Member States and between their peoples.",add,,,,
6.1.B,"Article B The Union shall set itself the following objectives: - to promote economic and social progress which is balanced and sustainable, in particular through the creation of an area without internal frontiers, through the strengthening of economic and social cohesion and through the establishment of economic and monetary union, ultimately including a single currency in accordance with the provisions of this Treaty; - to assert its identity on the international scene, in particular through the implementation of a common foreign and security policy including the eventual framing of a common defence policy, which might in time lead to a common defence; - to strengthen the protection of the rights and interests of the nationals of its Member States through the introduction of a citizenship of the Union; - to develop close cooperation on justice and home affairs; - to maintain in full the ‘acquis communautaire’ and build on it with a view to considering, through the procedure referred to in Article N(2), to what extent the policies and forms of cooperation introduced by this Treaty may need to be revised with the aim of ensuring the effectiveness of the mechanisms and the institutions of the Community. The objectives of the Union shall be achieved as provided in this Treaty and in accordance with the conditions and the timetable set out therein while respecting the principle of subsidiarity as defined in Article 3b of the Treaty establishing the European Community.",add,,,,
6.1.C,"Article C The Union shall be served by a single institutional framework which shall ensure the consistency and the continuity of the activities carried out in order to attain its objectives while respecting and building upon the ‘acquis communautaire’. The Union shall in particular ensure the consistency of its external activities as a whole in the context of its external relations, security, economic and development policies. The Council and the Commission shall be responsible for ensuring such consistency. They shall ensure the implementation of these policies, each in accordance with its respective powers.",add,,,,
6.1.D,"Article D The European Council shall provide the Union with the necessary impetus for its development and shall define the general political guidelines thereof. The European Council shall bring together the Heads of State or of Government of the Member States and the President of the Commission. They shall be assisted by the Ministers for Foreign Affairs of the Member States and by a Member of the Commission. The European Council shall meet at least twice a year, under the chairmanship of the Head of State or of Government of the Member State which holds the Presidency of the Council. The European Council shall submit to the European Parliament a report after each of its meetings and a yearly written report on the progress achieved by the Union.",add,,,,
6.1.E,"Article E The European Parliament, the Council, the Commission and the Court of Justice shall exercise their powers under the conditions and for the purposes provided for, on the one hand, by the provisions of the Treaties establishing the European Communities and of the subsequent Treaties and Acts modifying and supplementing them and, on the other hand, by the other provisions of this Treaty.",add,,,,
6.1.F,"Article F 1. The Union shall respect the national identities of its Member States, whose systems of government are founded on the principles of democracy. 2. The Union shall respect fundamental rights, as guaranteed by the European Convention for the Protection of Human Rights and Fundamental Freedoms signed in Rome on 4 November 1950 and as they result from the constitutional traditions common to the Member States, as general principles of Community law. 3. The Union shall provide itself with the means necessary to attain its objectives and carry through its policies.",add,,,,
6.2.G.1,1) The term ‘European Economic Community’ shall be replaced by the term ‘European Community’. B. In Part One ‘Principles’:,replace_txt_globally,3,,European Economic Community,European Community
6.2.G.2,"2) Article 2 shall be replaced by the following: ‘Article 2 The Community shall have as its task, by establishing a common market and an economic and monetary union and by implementing the common policies or activities referred to in Articles 3 and 3a, to promote throughout the Community a harmonious and balanced development of economic activities, sustainable and non-inflationary growth respecting the environment, a high degree of convergence of economic performance, a high level of employment and of social protection, the raising of the standard of living and quality of life, and economic and social cohesion and solidarity among Member States.’",replace,3.1.X.X.X.2,,,"Article 2 The Community shall have as its task, by establishing a common market and an economic and monetary union and by implementing the common policies or activities referred to in Articles 3 and 3a, to promote throughout the Community a harmonious and balanced development of economic activities, sustainable and non-inflationary growth respecting the environment, a high degree of convergence of economic performance, a high level of employment and of social protection, the raising of the standard of living and quality of life, and economic and social cohesion and solidarity among Member States."
6.2.G.3,"3) Article 3 shall be replaced by the following: ‘Article 3 For the purposes set out in Article 2, the activities of the Community shall include, as provided in this Treaty and in accordance with the timetable set out therein: (a) the elimination, as between Member States, of customs duties and quantitative restrictions on the import and export of goods, and of all other measures having equivalent effect; (b) a common commercial policy; (c) an internal market characterized by the abolition, as between Member States, of obstacles to the free movement of goods, persons, services and capital; (d) measures concerning the entry and movement of persons in the internal market as provided for in Article 100c; (e) a common policy in the sphere of agriculture and fisheries; (f) a common policy in the sphere of transport; (g) a system ensuring that competition in the internal market is not distorted; (h) the approximation of the laws of Member States to the extent required for the functioning of the common market; (i) a policy in the social sphere comprising a European Social Fund; (j) the strengthening of economic and social cohesion; (k) a policy in the sphere of the environment; (l) the strengthening of the competitiveness of Community industry; (m) the promotion of research and technological development; (n) encouragement for the establishment and development of trans-European networks; (o) a contribution to the attainment of a high level of health protection; (p) a contribution to education and training of quality and to the flowering of the cultures of the Member States; (q) a policy in the sphere of development cooperation; (r) the association of the overseas countries and territories in order to increase trade and promote jointly economic and social development; (s) a contribution to the strengthening of consumer protection; (t) measures in the spheres of energy, civil protection and tourism.’",replace,3.1.X.X.X.3,,,"Article 3 For the purposes set out in Article 2, the activities of the Community shall include, as provided in this Treaty and in accordance with the timetable set out therein: (a) the elimination, as between Member States, of customs duties and quantitative restrictions on the import and export of goods, and of all other measures having equivalent effect; (b) a common commercial policy; (c) an internal market characterized by the abolition, as between Member States, of obstacles to the free movement of goods, persons, services and capital; (d) measures concerning the entry and movement of persons in the internal market as provided for in Article 100c; (e) a common policy in the sphere of agriculture and fisheries; (f) a common policy in the sphere of transport; (g) a system ensuring that competition in the internal market is not distorted; (h) the approximation of the laws of Member States to the extent required for the functioning of the common market; (i) a policy in the social sphere comprising a European Social Fund; (j) the strengthening of economic and social cohesion; (k) a policy in the sphere of the environment; (l) the strengthening of the competitiveness of Community industry; (m) the promotion of research and technological development; (n) encouragement for the establishment and development of trans-European networks; (o) a contribution to the attainment of a high level of health protection; (p) a contribution to education and training of quality and to the flowering of the cultures of the Member States; (q) a policy in the sphere of development cooperation; (r) the association of the overseas countries and territories in order to increase trade and promote jointly economic and social development; (s) a contribution to the strengthening of consumer protection; (t) measures in the spheres of energy, civil protection and tourism."
6.2.G.4,"4) The following Article shall be inserted: ‘Article 3a 1. For the purposes set out in Article 2, the activities of the Member States and the Community shall include, as provided in this Treaty and in accordance with the timetable set out therein, the adoption of an economic policy which is based on the close coordination of Member States' economic policies, on the internal market and on the definition of common objectives, and conducted in accordance with the principle of an open market economy with free competition. 2. Concurrently with the foregoing, and as provided in this Treaty and in accordance with the timetable and the procedures set out therein, these activities shall include the irrevocable fixing of exchange rates leading to the introduction of a single currency, the ECU, and the definition and conduct of a single monetary policy and exchange rate policy the primary objective of both of which shall be to maintain price stability and, without prejudice to this objective, to support the general economic policies in the Community, in accordance with the principle of an open market economy with free competition. 3. These activities of the Member States and the Community shall entail compliance with the following guiding principles: stable prices, sound public finances and monetary conditions and a sustainable balance of payments.’",insert,3.1.X.X.X.3a,,,"Article 3a 1. For the purposes set out in Article 2, the activities of the Member States and the Community shall include, as provided in this Treaty and in accordance with the timetable set out therein, the adoption of an economic policy which is based on the close coordination of Member States' economic policies, on the internal market and on the definition of common objectives, and conducted in accordance with the principle of an open market economy with free competition. 2. Concurrently with the foregoing, and as provided in this Treaty and in accordance with the timetable and the procedures set out therein, these activities shall include the irrevocable fixing of exchange rates leading to the introduction of a single currency, the ECU, and the definition and conduct of a single monetary policy and exchange rate policy the primary objective of both of which shall be to maintain price stability and, without prejudice to this objective, to support the general economic policies in the Community, in accordance with the principle of an open market economy with free competition. 3. These activities of the Member States and the Community shall entail compliance with the following guiding principles: stable prices, sound public finances and monetary conditions and a sustainable balance of payments."
6.2.G.5,"5) The following Article shall be inserted: ‘Article 3b The Community shall act within the limits of the powers conferred upon it by this Treaty and of the objectives assigned to it therein. In areas which do not fall within its exclusive competence, the Community shall take action, in accordance with the principle of subsidiarity, only if and in so far as the objectives of the proposed action cannot be sufficiently achieved by the Member States and can therefore, by reason of the scale or effects of the proposed action, be better achieved by the Community. Any action by the Community shall not go beyond what is necessary to achieve the objectives of this Treaty.’",insert,3.1.X.X.X.3b,,,"Article 3b The Community shall act within the limits of the powers conferred upon it by this Treaty and of the objectives assigned to it therein. In areas which do not fall within its exclusive competence, the Community shall take action, in accordance with the principle of subsidiarity, only if and in so far as the objectives of the proposed action cannot be sufficiently achieved by the Member States and can therefore, by reason of the scale or effects of the proposed action, be better achieved by the Community. Any action by the Community shall not go beyond what is necessary to achieve the objectives of this Treaty."
6.2.G.6,"6) Article 4 shall be replaced by the following: ‘Article 4 1. The tasks entrusted to the Community shall be carried out by the following institutions: - a EUROPEAN PARLIAMENT, - a COUNCIL, - a COMMISSION, - a COURT OF JUSTICE, - a COURT OF AUDITORS. Each institution shall act within the limits of the powers conferred upon it by this Treaty. 2. The Council and the Commission shall be assisted by an Economic and Social Committee and a Committee of the Regions acting in an advisory capacity.’",replace,3.1.X.X.X.4,,,"Article 4 1. The tasks entrusted to the Community shall be carried out by the following institutions: - a EUROPEAN PARLIAMENT, - a COUNCIL, - a COMMISSION, - a COURT OF JUSTICE, - a COURT OF AUDITORS. Each institution shall act within the limits of the powers conferred upon it by this Treaty. 2. The Council and the Commission shall be assisted by an Economic and Social Committee and a Committee of the Regions acting in an advisory capacity."
6.2.G.7,"7) The following Articles shall be inserted: ‘Article 4a A European System of Central Banks (hereinafter referred to as “ESCB”) and a European Central Bank (hereinafter referred to as “ECB”) shall be established in accordance with the procedures laid down in this Treaty; they shall act within the limits of the powers conferred upon them by this Treaty and by the Statute of the ESCB and of the ECB (hereinafter referred to as “Statute of the ESCB”) annexed thereto. Article 4b A European Investment Bank is hereby established, which shall act within the limits of the powers conferred upon it by this Treaty and the Statute annexed thereto.’",insert,3.1.X.X.X.4a,,,Article 4a A European System of Central Banks (hereinafter referred to as “ESCB”) and a European Central Bank (hereinafter referred to as “ECB”) shall be established in accordance with the procedures laid down in this Treaty; they shall act within the limits of the powers conferred upon them by this Treaty and by the Statute of the ESCB and of the ECB (hereinafter referred to as “Statute of the ESCB”) annexed thereto.
6.2.G.7,"7) The following Articles shall be inserted: ‘Article 4a A European System of Central Banks (hereinafter referred to as “ESCB”) and a European Central Bank (hereinafter referred to as “ECB”) shall be established in accordance with the procedures laid down in this Treaty; they shall act within the limits of the powers conferred upon them by this Treaty and by the Statute of the ESCB and of the ECB (hereinafter referred to as “Statute of the ESCB”) annexed thereto. Article 4b A European Investment Bank is hereby established, which shall act within the limits of the powers conferred upon it by this Treaty and the Statute annexed thereto.’",insert,3.1.X.X.X.4b,,,"Article 4b A European Investment Bank is hereby established, which shall act within the limits of the powers conferred upon it by this Treaty and the Statute annexed thereto."
6.2.G.8,"8) Article 6 shall be deleted and Article 7 shall become Article 6. Its second paragraph shall be replaced by the following: ‘The Council, acting in accordance with the procedure referred to in Article 189c, may adopt rules designed to prohibit such discrimination.’",repeal,3.1.X.X.X.6,,,
6.2.G.8,"8) Article 6 shall be deleted and Article 7 shall become Article 6. Its second paragraph shall be replaced by the following: ‘The Council, acting in accordance with the procedure referred to in Article 189c, may adopt rules designed to prohibit such discrimination.’",replace,3.1.X.X.X.7,3.1.X.X.X.6,,"Article 6 Within the field of application of this Treaty and without prejudice to the special provisions mentioned therein, any discrimination on the grounds of nationality shall hereby be prohibited. The Council may, acting by means of a qualified majority vote on a proposal of the Commission and in co-operation with the European Parliament, lay down rules in regard to the prohibition of any such discrimination."
6.2.G.8,"8) Article 6 shall be deleted and Article 7 shall become Article 6. Its second paragraph shall be replaced by the following: ‘The Council, acting in accordance with the procedure referred to in Article 189c, may adopt rules designed to prohibit such discrimination.’",replace_txt,3.1.X.X.X.6,,"The Council may, acting by means of a qualified majority vote on a proposal of the Commission and in co-operation with the European Parliament, lay down rules in regard to the prohibition of any such discrimination.","The Council, acting in accordance with the procedure referred to in Article 189c, may adopt rules designed to prohibit such discrimination."
