id,article,txt
1.1.X.1,1,"Article 1 By the present Treaty the HIGH CONTRACTING PARTIES institute among themselves a EUROPEAN COAL AND STEEL COMMUNITY, based on a common market, common objectives, and common institutions."
1.1.X.2,2,"Article 2 The mission of the European Coal and Steel Community is to contribute to economic expansion, the development of employment and the improvement of the standard of living in the participating countries through the institution, in harmony with the general economy of the member States, of a common market as defined in Article 4. The Community must progressively establish conditions which will in themselves assure the most rational distribution of production at the highest possible level of productivity, while safeguarding the continuity of employment and avoiding the creation of fundamental and persistent disturbances in the economies of the member States."
1.1.X.3,3,"Article 3 Within the framework of their respective powers and responsibilities and in the common interest, the institutions of the Community shall: (a) see that the common market is regularly supplied, taking account of the needs of third countries; (b) assure to all consumers in comparable positions within the common market equal access to the sources of production; (c) seek the establishment of the lowest prices which are possible without requiring any corresponding rise either in the prices charged by the same enterprises in other transactions or in the price-level as a whole in another period, while at the same time permitting necessary amortization and providing normal possibilities of remuneration for capital invested; (d) see that conditions are maintained which will encourage enterprises to expand and improve their ability to produce and to promote a policy of rational development of natural resources, avoiding inconsiderate exhaustion of such resources; (e) promote the improvement of the living and working conditions of the labor force in each of the industries under its jurisdiction so as to make possible the equalization of such conditions in an upward direction; (f) further the development of international trade and see that equitable limits are observed in prices charged on external markets; (g) promote the regular expansion and the modernization of production as well as the improvement of its quality, under conditions which preclude any protection against competing industries except where justified by illegitimate action on the part of such industries or in their favor."
1.1.X.4,4,"Article 4 The following are recognized to be incompatible with the common market for coal and steel, and are, therefore, abolished and prohibited within the Community in the manner set forth in the present Treaty: (a) import and export duties, or charges with an equivalent effect, and quantitative restrictions on the movement of coal and steel; (b) measures or practices discriminating among producers, among buyers or among consumers, specifically as concerns prices, delivery terms and transportation rates, as well as measures or practices which hamper the buyer in the free choice of his supplier; (c) subsidies or state assistance, or special charges imposed by the state, in any form whatsoever; (d) restrictive practices tending towards the division of markets or the exploitation of the consumer."
1.1.X.5,5,"Article 5 The Community shall accomplish its mission, under the conditions provided for in the present Treaty, with limited direct intervention. To this end, the Community will: enlighten and facilitate the action of the interested parties by collecting information, organizing consultations and defining general objectives; place financial means at the disposal of enterprises for their investments and participate in the expenses of readaptation; assure the establishment, the maintenance and the observance of normal conditions of competition and take direct action with respect to production and the operation of the market only when circumstances make it absolutely necessary; publish the justifications for its action and take the necessary measures to ensure observance of the rules set forth in the present Treaty. The institutions of the Community shall carry out these activities with as little administrative machinery as possible and in close cooperation with the interested parties."
1.1.X.6,6,"Article 6 The Community shall have juridical personality. In its international relationships, the Community shall enjoy the juridical capacity necessary to the exercise of its functions and the attainment of its ends. In each of the member States, the Community shall enjoy the most extensive juridical capacity which is recognized for legal persons of the nationality of the country in question. Specifically, it may acquire and transfer real and personal property, and may sue and be sued in its own name. The Community shall be represented by its institutions, each one of them acting within the framework of its own powers and responsibilities."
1.2.1.10,10,"Article 10 1. The members of the Commission shall be appointed, in accordance with the procedure referred to in paragraph 2, for a period of five years, subject, if need be, to Article 24. Their term of office shall be renewable. 2. The governments of the Member States shall nominate by common accord, after consulting the European Parliament, the person they intend to appoint as President of the Commission. The governments of the Member States shall, in consultation with the nominee for President, nominate the other persons whom they intend to appoint as members of the Commission. The President and the other members of the Commission thus nominated shall be subject as a body to a vote of approval by the European Parliament. After approval by the European Parliament, the President and the other members of the Commission shall be appointed by common accord of the governments of the Member States. 3. Paragraphs 1 and 2 shall be applied for the first time to the President and the other members of the Commission whose term of office begins on 7 January 1995. The President and the other members of the Commission whose term of office begins on 7 January 1993 shall be appointed by common accord of the governments of the Member States. Their term of office shall expire on 6 January 1995."
1.2.1.11,11,Article 11 The Commission may appoint a Vice-President or two Vice-Presidents from among its members.
1.2.1.12,12,"Article 12 Apart from normal replacement, or death, the duties of a member of the Commission shall end when he resigns or is compulsorily retired. The vacancy thus caused shall be filled for the remainder of the member's term of office by a new member appointed by common accord of the governments of the Member States. The Council may, acting unanimously, decide that such a vacancy need not be filled. In the event of resignation, compulsory retirement or death, the President shall be replaced for the remainder of his term of office. The procedure laid down in Article 10(2) shall be applicable for the replacement of the President. Save in the case of compulsory retirement under Article 12a, members of the Commission shall remain in office until they have been replaced. Article 12a If any member of the Commission no longer fulfils the conditions required for the performance of his duties or if he has been guilty of serious misconduct, the Court of Justice may, on application by the Council or the Commission, compulsorily retire him."
1.2.1.13,13,Article 13 The Commission shall act by a majority of the number of members provided for in Article 9. A meeting of the Commission shall be valid only if the number of members laid down in its rules of procedure is present.
