id,article,txt
3.1.X.X.X.1,1,"Article 1 By the present Treaty, the HIGH CONTRACTING PARTIES establish among themselves a EUROPEAN ECONOMIC COMMUNITY."
3.1.X.X.X.2,2,"Article 2 It shall be the aim of the Community, by establishing a Common Market and progressively approximating the economic policies of Member States, to promote throughout the Community a harmonious development of economic activities, a continuous and balanced expansion, an increased stability, an accelerated raising of the standard of living and closer relations between its Member States."
3.1.X.X.X.3,3,"Article 3 For the purposes set out in the preceding Article, the activities of the Community shall include, under the conditions and with the timing provided for in this Treaty: (a) the elimination, as between Member States, of customs duties and of quantitative restrictions in regard to the importation and exportation of goods, as well as of all other measures with equivalent effect; (b) the establishment of a common customs tariff and a common commercial policy towards third countries; (c) the abolition, as between Member States, of the obstacles to the free movement of persons, services and capital; (d) the inauguration of a common agricultural policy; (e) the inauguration of a common transport policy; (f) the establishment of a system ensuring that competition shall not be distorted in the Common Market; (g) the application of procedures which shall make it possible to co-ordinate the economic policies of Member States and to remedy disequilibria in their balances of payments; (h) the approximation of their respective municipal law to the extent necessary for the functioning of the Common Market; (i) the creation of a European Social Fund in order to improve the possibilities of employment for workers and to contribute to the raising of their standard of living; (j) the establishment of a European Investment Bank intended to facilitate the economic expansion of the Community through the creation of new resources; and (k) the association of overseas countries and territories with the Community with a view to increasing trade and to pursuing jointly their effort towards economic and social development."
3.1.X.X.X.4,4,"Article 4 1. The achievement of the tasks entrusted to the Community shall be ensured by an ASSEMBLY, a COUNCIL, a COMMISSION, and a COURT OF JUSTICE. Each of these institutions shall act within the limits of the powers conferred upon it by this Treaty. 2. The Council and the Commission shall be assisted by an Economic and Social Committee acting in a consultative capacity."
3.1.X.X.X.5,5,Article 5 Member States shall take all general or particular measures which are appropriate for ensuring the carrying out of the obligations arising out of this Treaty or resulting from the acts of the institutions of the Community. They shall facilitate the achievement of the Community’s aims. They shall abstain from any measures likely to jeopardise the attainment of the objectives of this Treaty.
3.1.X.X.X.6,6,"Article 6 1. Member States, acting in close collaboration with the institutions of the Community, shall co-ordinate their respective economic policies to the extent that is necessary to attain the objectives of this Treaty. 2. The institutions of the Community shall take care not to prejudice the internal and external financial stability of Member States."
3.1.X.X.X.7,7,"Article 7 Within the field of application of this Treaty and without prejudice to the special provisions mentioned therein, any discrimination on the grounds of nationality shall hereby be prohibited. The Council may, acting by means of a qualified majority vote on a proposal of the Commission and in co-operation with the European Parliament, lay down rules in regard to the prohibition of any such discrimination."
3.1.X.X.X.8,8,"Article 8 1. The Common Market shall be progressively established in the course of a transitional period of twelve years. The transitional period shall be divided into three stages of four years each; the length of each stage may be modified in accordance with the provisions set out below. 2. To each stage there shall be allotted a group of actions which shall be undertaken and pursued concurrently. 3. Transition from the first to the second stage shall be conditional upon a confirmatory statement to the effect that the essence of the objectives specifically laid down in this Treaty for the first stage has been in fact achieved and that, subject to the exceptions and procedures provided for in this Treaty, the obligations have been observed. This statement shall be made at the end of the fourth year by the Council acting by means of a unanimous vote on a report of the Commission. The invocation by a Member State of the non-fulfilment of its own obligations shall not, however, be an obstacle to a unanimous vote. Failing a unanimous vote, the first stage shall automatically be extended for a period of one year. At the end of the fifth year, the Council shall make such confirmatory statement under the same conditions. Failing a unanimous vote, the first stage shall automatically be extended for a further period of one year. At the end of the sixth year, the Council shall make such a statement acting by means of a qualified majority vote on a report of the Commission. 4. Within a period of one month as from the date of this last vote, each Member State voting in a minority or, if the required majority vote has not been obtained, any Member State, shall be entitled to require the Council to appoint an Arbitration Board whose decision shall bind all Member States and the institutions of the Community. The Arbitration Board shall be composed of three members appointed by the Council acting by means of a unanimous vote on a proposal of the Commission. If the Council has not, within a period of one month from the date of such requirement, appointed the members of the Arbitration Board, they shall be appointed by the Court of Justice within a further period of one month. The Arbitration Board shall appoint its Chairman. The Board shall give its award within a period of six months from the date of the vote by the Council referred to in paragraph 3, last sub-paragraph. 5. The second and third stages may not be extended or curtailed except pursuant to a decision of the Council acting by means of a unanimous vote on a proposal of the Commission. 6. The provisions of the preceding paragraphs shall not have the effect of extending the transitional period beyond a total duration of fifteen years after the date of the entry into force of this Treaty. 7. Subject to the exceptions or deviations provided for in this Treaty, the expiry of the transitional period shall constitute the final date for the entry into force of all the rules laid down and for the completion of all the measures required for the establishment of the Common Market."
3.2.1.1.1.12,12,"Article 12 Member States shall refrain from introducing, as between themselves, any new customs duties on importation or exportation or charges with equivalent effect and from increasing such duties or charges as they apply in their commercial relations with each other."
3.2.1.1.1.13,13,"Article 13 1. Customs duties on importation in force between Member States shall be progressively abolished by them in the course of the transitional period under the conditions laid down in Articles 14 and 15. 2. Charges in force between Member States having an effect equivalent to customs duties on importation shall be progressively abolished by them in the course of the transitional period. The Commission shall, by means of directives, fix the timing of such abolition. It shall be guided by the rules mentioned in Article 14, paragraphs 2 and 3, and by the directives issued by the Council in application of the said paragraph 2."
