id,article,txt
2.1.X.X.1,1,"Article 1 By the present Treaty, the HIGH CONTRACTING PARTIES establish among themselves a EUROPEAN ATOMIC ENERGY COMMUNITY (EURATOM). It shall be the aim of the Community to contribute to the raising of the standard of living in Member States and to the development of commercial exchanges with other countries by the creation of conditions necessary for the speedy establishment and growth of nuclear industries."
2.1.X.X.2,2,"Article 2 For the attainment of its aims the Community shall, in accordance with the provisions set out in this Treaty: (a) develop research and ensure the dissemination of technical knowledge, (b) establish, and ensure the application of, uniform safety standards to protect the health of workers and of the general public, (c) facilitate investment and ensure, particularly by encouraging business enterprise, the construction of the basic facilities required for the development of nuclear energy within the Community, (d) ensure a regular and equitable supply of ores and nuclear fuels to all users in the Community, (e) guarantee, by appropriate measures of control, that nuclear materials are not diverted for purposes other than those for which they are intended, (f) exercise the property rights conferred upon it in respect of special fissionable materials, (g) ensure extensive markets and access to the best technical means by the creation of a common market for specialised materials and equipment, by the free movement of capital for nuclear investment, and by freedom of employment for specialists within the Community, (h) establish with other countries and with international organisations any contacts likely to promote progress in the peaceful uses of nuclear energy."
2.1.X.X.3,3,"Article 3 1. The achievement of the tasks entrusted to the Community shall be ensured by: — an ASSEMBLY, — a COUNCIL, — a COMMISSION, — a COURT OF JUSTICE. Each of these institutions shall act within the limits of the powers conferred upon it by this Treaty. 2. The Council and the Commission shall be assisted by an Economic and Social Committee acting in a consultative capacity."
2.2.1.X.10,10,"Article 10 The Commission may, by means of contracts, entrust Member States, persons or enterprises or also third countries or international organisations or nationals of third countries with the implementation of certain parts of the Community’s research programme."
2.2.1.X.11,11,"Article 11 The Commission shall publish the research programmes referred to in Articles 7, 8 and 10, as well as periodical reports on the progress of their implementation."
2.2.1.X.4,4,"Article 4 1. The Commission shall be responsible for promoting and facilitating nuclear research in Member States and for supplementing it by carrying out the Community’s own research and instructional programme. 2. The Commission shall, for the above purposes, act within the field defined by the list set out in Annex I to this Treaty. This list may be amended by the Council acting by means of a qualified majority vote on a proposal of the Commission. The latter shall consult the Scientific and Technical Committee set up under Article 134."
2.2.1.X.5,5,"Article 5 In order to promote the co-ordination of research undertaken in Member States and to be able to supplement such research, the Commission shall invite Member States, persons or enterprises, either by means of a special request addressed to a specific person or enterprise and communicated to the appropriate Member State having jurisdiction over such person or enterprise or by means of a general request made public, to communicate to it their programmes relating to the research mentioned in the request. The Commission may, after giving the interested parties every opportunity to submit their comments, formulate a reasoned opinion on each of the programmes communicated to it. The Commission shall, at the request of the State, person or enterprise communicating a programme, be bound to formulate such an opinion. By means of such opinions the Commission will discourage unnecessary duplication and will direct research towards sectors insufficiently studied. The Commission may not publish any programmes without the consent of the States, persons or enterprises communicating them. The Commission shall periodically publish a list showing the sectors of nuclear research which it considers insufficiently studied. The Commission may, for the purposes of mutual consultation and exchange of information, convene the representatives of public and private research centres and also any experts engaged upon research in the same or allied fields."
2.2.1.X.6,6,"Article 6 In order to encourage the implementation of the research programmes communicated to it, the Commission may: (a) furnish financial assistance, excluding subsidies, in respect of research contracts; (b) supply, for the purpose of carrying out these programmes, any source materials or special fissionable materials at its disposal, either against payment or free of charge; (c) place facilities, equipment or expert assistance at the disposal of Member States, persons or enterprises, either against payment or free of charge; and (d) initiate joint financing by the Member States, persons or enterprises concerned."
2.2.1.X.7,7,Article 7 The Community’s research and instructional programmes shall be laid down by the Council acting by means of a unanimous vote on a proposal of the Commission which shall consult the Scientific and Technical Committee. These programmes shall be drawn up for a period not exceeding five years. The funds necessary for the implementation of these programmes shall be included each year in the research and investment budget of the Community. The Commission shall ensure the implementation of the programmes and shall each year submit to the Council a report thereon. The Commission shall keep the Economic and Social Committee informed of the broad outlines of the Community’s research and instructional programmes.
2.2.1.X.8,8,"Article 8 1. The Commission shall, after consulting the Scientific and Technical Committee, set up a Joint Nuclear Research Centre. The Centre shall ensure the implementation of the research programmes and of any other tasks entrusted to it by the Commission. The Centre shall also ensure the establishment of uniform nuclear terminology and of a standard system of measurements. It shall organise a central bureau of nuclear measurements. 2. The work of the Centre may, for geographical or operational reasons, be carried on in separate establishments."
2.2.1.X.9,9,"Article 9 1. After requesting the opinion of the Economic and Social Committee, the Commission may, within the framework of the Joint Nuclear Research Centre, set up schools for training specialists, particularly in prospecting for ores, producing nuclear materials of a high degree of purity, processing irradiated fuels, in atomic engineering, health protection and the production and use of radioactive isotopes. The Commission shall settle the particulars of instruction. 2. An institution at university level shall be set up; the particulars of its operation shall be settled by the Council acting by means of a qualified majority vote on a proposal of the Commission."
2.2.10.X.101,101,"Article 101 The Community may, within the limits of its competence, enter into obligations by means of the conclusion of agreements or conventions with a third country, an international organisation or a national of a third country. Such agreements or conventions shall be negotiated by the Commission in accordance with directives issued by the Council and shall be concluded by the Commission with the approval of the Council acting by means of a qualified majority vote. Agreements or conventions the implementation of which does not require action by the Council and can be effected within the limits of the appropriate budget shall, however, be negotiated and concluded by the Commission, provided that it keeps the Council informed thereof."
2.2.10.X.102,102,"Article 102 Any agreement or convention, which is concluded with a third country, an international organisation or a national of a third country and to which, in addition to the Community, one or more Member States are parties, shall enter into force only after all the Member States concerned have notified the Commission that such agreement or convention has become applicable in accordance with the provisions of their respective municipal law."
2.2.10.X.103,103,"Article 103 A Member State shall communicate to the Commission any draft agreement or convention with a third country, an international organisation or a national of a third country to the extent that such agreement or convention concerns the field of application of this Treaty. If a draft agreement or convention contains clauses impeding the application of this Treaty, the Commission shall, within a period of one month after the date of receipt of such communication, make its comments to the State concerned. Such State may not conclude the proposed agreement or convention until it has removed the objections of the Commission or complied with the ruling of the Court of Justice, which has acted in expedited proceedings at that State’s petition, as to the compatibility of the proposed clauses with the provisions of this Treaty. The State concerned may submit its petition to the Court of Justice at any time after receiving the comments of the Commission."
2.2.10.X.104,104,"Article 104 No person or enterprise concluding or renewing, after the date of the entry into force of this Treaty, an agreement or convention with a third country, an international organisation or a national of a third country, may invoke such agreement or convention to evade any of the obligations imposed by this Treaty. Each Member State shall take all such measures as it considers necessary in order to communicate to the Commission, if so required by it, all information regarding any agreement or convention concluded by any person or enterprise with a third country, an international organisation or a national of a third country, where such agreement or convention has been concluded after the date of the entry into force of this Treaty and falls within the field of its application. The Commission may require such information only for the purpose of ascertaining that such agreement or convention does not contain clauses impeding the application of this Treaty. On a petition by the Commission, the Court of Justice shall rule as to the compatibility of such agreement or convention with the provisions of this Treaty."
2.2.10.X.105,105,"Article 105 The provisions of this Treaty may not be invoked as an obstacle to the implementation of any agreement or convention concluded before the date of the entry into force of this Treaty by a Member State, a person or enterprise with a third country, an international organisation or a national of a third country, where such agreement or convention has been communicated to the Commission not later than thirty days after the date of the entry into force of this Treaty. An agreement or convention concluded during the period between the signature and the date of the entry into force of this Treaty by a person or enterprise with a third country, an international organisation or a national of a third country may not be invoked as an obstacle to this Treaty if, in the opinion of the Court of Justice ruling on a petition by the Commission, one of the essential motives of either of the parties in concluding such agreement or convention was to evade the provisions of this Treaty."
2.2.10.X.106,106,"Article 106 Member States which, before the date of the entry into force of this Treaty, have concluded agreements with third countries for co-operation in the field of nuclear energy shall, jointly with the Commission, enter into the necessary negotiations with such third countries in order, as far as possible, to cause the rights and obligations arising out of such agreements to be assumed by the Community. Any new agreement resulting from such negotiations shall require the consent of the Member State or States signatories to the said agreements as well as the approval of the Council acting by means of a qualified majority vote."
2.2.2.1.12,12,"Article 12 Member States, persons or enterprises shall, by means of a demand addressed to the Commission, be entitled to benefit by non-exclusive licences of patents, provisionally protected claims, utility models or patent applications, which are the property of the Community, in so far as they are in a position effectively to exploit the inventions to which they relate. The Commission shall, on the same conditions, grant sub-licences of patents, provisionally protected claims, utility models or patent applications, where the Community holds contractual licences conferring this right. The Commission shall grant these licences or sub-licences on conditions to be settled by agreement with the licensee and shall make available all information necessary for exploiting them. These conditions shall cover, in particular, the question of suitable compensation and, where appropriate, the right of the licensee to grant sub-licences to third parties and the obligation to treat the information imparted as trade secrets. If agreement on the conditions provided for in the third paragraph cannot be reached, the licensee may, with a view to the settlement of suitable conditions, refer the matter to the Court of Justice."
2.2.2.1.13,13,"Article 13 The Commission shall communicate to Member States, persons or enterprises any information acquired by the Community which is not covered by the provisions of Article 12, irrespective of whether such information results from the implementation of the Community’s research programme or is communicated to the Commission with the right to make free use of it. The Commission may, however, make the communication of this information conditional on its being treated as confidential and not transmitted to third parties. The Commission may communicate information acquired subject to restrictions upon its use and dissemination — such as “classified” information — if it ensures observance of these restrictions."
2.2.2.2.14,14,"Article 14 The Commission shall, by friendly means, endeavour to obtain or to cause to be obtained, the communication of information useful to the Community in the pursuit of its objects and the granting of licences to exploit patents, provisionally protected claims, utility models or patent applications relating to such information."
2.2.2.2.15,15,"Article 15 The Commission shall arrange a procedure by which Member States, persons or enterprises may use it as an intermediary to exchange provisional or final results of their research in so far as these are not results acquired by the Community under research contracts granted by the Commission. The procedure shall guarantee the confidential nature of the exchange. The results communicated may, however, be transmitted by the Commission to the Joint Nuclear Research Centre for purposes of documentation, provided that such transmission shall not confer any right of use to which the originator of the communication has not consented."
