id,article,txt
4.1.1,1,"Article 1 A Council of the European Communities (hereinafter called the ""Council"") is hereby established. This Council shall take the place of the Special Council of Ministers of the European Coal and Steel Community, the Council of the European Economic Community and the Council of the European Atomic Energy Community. It shall exercise the powers and competences conferred on those institutions in accordance with the provisions of the Treaties establishing the European Coal and Steel Community, the European Economic Community and the European Atomic Energy Community, and of this Treaty."
4.1.2,2,"Article 2 The Council shall consist of representatives of the Member States. Each government shall delegate to it one of its members. The Presidency shall be held for a term of six months by each Member of the Council in turn, in the following order of Member States: Belgium, Germany, France, Italy, Luxembourg and the Netherlands."
4.1.3,3,Article 3 The Council shall meet when convened by its President on his own initiative or at the request of one of its Members or of the Commission.
4.1.4,4,Article 4 A committee consisting of the Permanent Representatives of the Member States shall be responsible for preparing the work of the Council and for carrying out the tasks assigned to it by the Council.
4.1.5,5,Article 5 The Council shall adopt its rules of procedure.
4.1.6,6,"Article 6 The Council shall, acting by a qualified majority, determine the salaries, allowances and pensions of the President and Members of the Commission, and of the President, Judges, Advocates-General and Registrar of the Court of Justice. It shall also, acting by the same majority, determine any allowances to be granted in place of remuneration."
4.2.10,10,"Article 10 1. The Commission shall consist of nine members, who shall be chosen on the grounds of their general competence and whose independence is beyond doubt. The number of members of the Commission may be altered by the Council, acting unanimously. Only nationals of Member States may be members of the Commission. The Commission must include at least one national of each of the Member States, but may not include more than two members having the nationality of the same state. 2. The members of the Commission shall, in the general interest of the Communities, be completely independent in the performance of their duties. In the performance of these duties, they shall neither seek nor take instructions from any government or other body. They shall refrain from any action incompatible with their duties. Each Member State undertakes to respect this principle and not to seek to influence the members of the Commission in the performance of their tasks. The members of the Commission may not, during their term of office, engage in any other occupation, whether gainful or not. When entering upon their duties, they shall give a solemn undertaking that, both during and after their term of office, they will respect the obligations arising therefrom and in particular their duty to behave with integrity and with discretion as regards the acceptance, after they have ceased to hold office, of certain appointments or benefits. In the event of any breach of these obligations, the Court of Justice may, on application by the Council or the Commission, rule that the member concerned be, according to the circumstances, either compulsorily retired in accordance with the provisions of Article 13 or deprived of his right to a pension or other benefits in its stead."
4.2.11,11,Article 11 The members of the Commission shall be appointed by common accord of the Governments of the Member States. Their term of office shall be four years. It shall be renewable.
4.2.12,12,"Article 12 Apart from normal replacement, or death, the duties of a member of the Commission shall end when he resigns or is compulsorily retired. The vacancy thus caused shall be filled for the remainder of the member's term of office. The Council may, acting unanimously, decide that such a vacancy need not be filled. Save in the case of compulsory retirement under the provisions of Article 13, members of the Commission shall remain in office until they have been replaced."
4.2.13,13,"Article 13 If any member of the Commission no longer fulfils the conditions required for the performance of his duties or if he has been guilty of serious misconduct, the Court of Justice, on the application of the Council or of the Commission, may compulsorily retire him."
4.2.14,14,"Article 14 The President and the three Vice-Presidents of the Commission shall be appointed from among its members for a term of two years in accordance with the same procedure as that laid down for the appointment of members of the Commission. Their term of office shall be renewable. Save where the entire Commission is replaced, such appointments shall be made after the Commission has been consulted. In the event of resignation or death, the President and the Vice-Presidents shall be replaced for the remainder of their terms of office in accordance with the above provisions."
4.2.15,15,Article 15 The Council and the Commission shall consult each other and shall decide on methods of cooperation by mutual agreement.
4.2.16,16,"Article 16 The Commission shall adopt rules of procedure to ensure that both it and its departments operate in accordance with the provisions of the Treaties establishing the European Coal and Steel Community, the European Economic Community and the European Atomic Energy Community, and of this Treaty. It shall ensure that these rules are published."
4.2.17,17,Article 17 The Commission shall reach its conclusions by a majority of the number of members provided for in Article 10. A meeting of the Commission shall only be valid if the number of members laid down in its rules of procedure is present.
